"부채보유 여부별","소득5분위별","자산5분위별","자산, 부채, 소득 분류별",2023,2024,2025
"전체","소득4분위","자산2분위","부채 (만원)",4465,4288,3398
"전체","소득4분위","자산2분위","원리금상환액(전년도) (만원)",1138,1146,1148
"전체","소득4분위","자산2분위","순자산액 (만원)",11355,11560,11866
"전체","소득4분위","자산3분위","가구분포 (%)",5.3,5.3,5.3
"전체","소득4분위","자산3분위","가구원수 (명)",3.0,2.9,2.9
"전체","소득4분위","자산3분위","가구주 연령 (세)",49.0,48.2,50.1
"전체","소득4분위","자산3분위","경상소득(전년도) (만원)",8102,8557,8722
"전체","소득4분위","자산3분위","자산 (만원)",30818,31236,31418
"전체","소득4분위","자산3분위","부채 (만원)",7436,7354,6166
"전체","소득4분위","자산3분위","원리금상환액(전년도) (만원)",1306,1383,1241
"전체","소득4분위","자산3분위","순자산액 (만원)",23382,23882,25252
"전체","소득4분위","자산4분위","가구분포 (%)",6.1,6.0,6.1
"전체","소득4분위","자산4분위","가구원수 (명)",3.1,3.1,3.0
"전체","소득4분위","자산4분위","가구주 연령 (세)",50.0,50.1,51.0
"전체","소득4분위","자산4분위","경상소득(전년도) (만원)",8151,8655,8997
"전체","소득4분위","자산4분위","자산 (만원)",57169,56234,57704
"전체","소득4분위","자산4분위","부채 (만원)",11469,11712,11966
"전체","소득4분위","자산4분위","원리금상환액(전년도) (만원)",1852,1782,1930
"전체","소득4분위","자산4분위","순자산액 (만원)",45700,44522,45738
"전체","소득4분위","자산5분위","가구분포 (%)",4.3,4.6,4.4
"전체","소득4분위","자산5분위","가구원수 (명)",3.1,3.0,2.9
"전체","소득4분위","자산5분위","가구주 연령 (세)",55.7,57.0,56.9
"전체","소득4분위","자산5분위","경상소득(전년도) (만원)",8303,8813,9037
"전체","소득4분위","자산5분위","자산 (만원)",137756,141162,152849
"전체","소득4분위","자산5분위","부채 (만원)",23415,21873,24242
"전체","소득4분위","자산5분위","원리금상환액(전년도) (만원)",1595,2243,2557
"전체","소득4분위","자산5분위","순자산액 (만원)",114341,119288,128607
"전체","소득5분위","전체","가구분포 (%)",20.0,20.0,20.0
"전체","소득5분위","전체","가구원수 (명)",3.4,3.4,3.3
"전체","소득5분위","전체","가구주 연령 (세)",51.3,51.8,52.2
"전체","소득5분위","전체","경상소득(전년도) (만원)",15598,16602,17338
"전체","소득5분위","전체","자산 (만원)",117458,123780,133651
"전체","소득5분위","전체","부채 (만원)",20634,20529,22286
"전체","소득5분위","전체","원리금상환액(전년도) (만원)",2771,2562,2780
"전체","소득5분위","전체","순자산액 (만원)",96825,103252,111365
"전체","소득5분위","자산1분위","가구분포 (%)",0.2,0.1,0.1
"전체","소득5분위","자산1분위","가구원수 (명)",3.5,3.3,3.5
"전체","소득5분위","자산1분위","가구주 연령 (세)",52.3,55.9,54.2
"전체","소득5분위","자산1분위","경상소득(전년도) (만원)",11486,12353,13691
"전체","소득5분위","자산1분위","자산 (만원)",4277,3700,4010
"전체","소득5분위","자산1분위","부채 (만원)",2318,4773,3696
"전체","소득5분위","자산1분위","원리금상환액(전년도) (만원)",1304,1674,798
"전체","소득5분위","자산1분위","순자산액 (만원)",1959,-1073,314
"전체","소득5분위","자산2분위","가구분포 (%)",0.8,0.7,0.7
"전체","소득5분위","자산2분위","가구원수 (명)",3.3,3.6,3.4
"전체","소득5분위","자산2분위","가구주 연령 (세)",49.9,50.4,51.3
"전체","소득5분위","자산2분위","경상소득(전년도) (만원)",12175,13058,13950
"전체","소득5분위","자산2분위","자산 (만원)",15477,16237,15112
"전체","소득5분위","자산2분위","부채 (만원)",3490,4132,3573
"전체","소득5분위","자산2분위","원리금상환액(전년도) (만원)",1395,1080,1934
"전체","소득5분위","자산2분위","순자산액 (만원)",11987,12105,11538
